Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Albania,Europe,2019,11.55843098896931
Andorra,Europe,2019,15.49529358892542
Austria,Europe,2019,15.81647796167553
Belarus,Europe,2019,12.56526282248056
Belgium,Europe,2019,14.964608019943071
Bosnia and Herzegovina,Europe,2019,11.51337635147718
Bulgaria,Europe,2019,11.14108966319428
Croatia,Europe,2019,11.690584013143
Czechia,Europe,2019,11.1397787524548
Denmark,Europe,2019,14.09613885123937
England,Europe,2019,15.218802431405951
Estonia,Europe,2019,12.194628755419613
Finland,Europe,2019,14.96401730443336
France,Europe,2019,16.63237223880752
Germany,Europe,2019,15.00078995899444
Greece,Europe,2019,17.04689208034167
Hungary,Europe,2019,11.31090785165621
Iceland,Europe,2019,14.60112474364376
Ireland,Europe,2019,17.60945354268606
Italy,Europe,2019,15.033929012786352
Latvia,Europe,2019,12.61688961073591
Lithuania,Europe,2019,13.24890355494
Luxembourg,Europe,2019,14.90676863184495
Malta,Europe,2019,15.72444383839445
Moldova,Europe,2019,12.80447647455568
Monaco,Europe,2019,16.05401173807564
Montenegro,Europe,2019,11.63408924793044
Netherlands,Europe,2019,16.59894376284065
North Macedonia,Europe,2019,11.34311857844718
Northern Ireland,Europe,2019,16.970233873194708
Norway,Europe,2019,15.98195094563085
Poland,Europe,2019,10.60162367233335
Portugal,Europe,2019,18.45128785304269
Romania,Europe,2019,11.10257338806637
Russia,Europe,2019,11.32027708589342
San Marino,Europe,2019,15.93950855392209
Scotland,Europe,2019,13.94262129346715
Serbia,Europe,2019,11.3794795016551
Slovakia,Europe,2019,11.20573391428391
Slovenia,Europe,2019,11.62601183415854
Spain,Europe,2019,18.31971830422646
Sweden,Europe,2019,15.33185883815538
Switzerland,Europe,2019,17.07454683578732
Ukraine,Europe,2019,12.39784683815513
United Kingdom,Europe,2019,15.13074861426654
Wales,Europe,2019,14.43710378034512
