Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Albania,Europe,2015,11.57676344158347
Andorra,Europe,2015,15.45265466472988
Austria,Europe,2015,15.744869355640231
Belarus,Europe,2015,12.656485258185498
Belgium,Europe,2015,15.01568911774433
Bosnia and Herzegovina,Europe,2015,11.5329965613884
Bulgaria,Europe,2015,11.1471291308979
Croatia,Europe,2015,11.63516593512898
Czechia,Europe,2015,11.17610817893399
Denmark,Europe,2015,14.215689379142022
England,Europe,2015,15.39574657506625
Estonia,Europe,2015,12.21549156593201
Finland,Europe,2015,14.98095161480428
France,Europe,2015,16.63925573860026
Germany,Europe,2015,15.22788799484557
Greece,Europe,2015,16.98736326893342
Hungary,Europe,2015,11.34404250677502
Iceland,Europe,2015,14.58237229964793
Ireland,Europe,2015,17.70177041090137
Italy,Europe,2015,15.12036922297428
Latvia,Europe,2015,12.63543241854769
Lithuania,Europe,2015,13.24467955005954
Luxembourg,Europe,2015,14.92727743524605
Malta,Europe,2015,15.672933341319538
Moldova,Europe,2015,12.90307730945009
Monaco,Europe,2015,16.023616301934577
Montenegro,Europe,2015,11.65627804249317
Netherlands,Europe,2015,16.699090733369477
North Macedonia,Europe,2015,11.36781928562114
Northern Ireland,Europe,2015,17.15067917076843
Norway,Europe,2015,15.97259583528892
Poland,Europe,2015,10.4795700714983
Portugal,Europe,2015,18.28341670946011
Romania,Europe,2015,11.15419222959576
Russia,Europe,2015,11.3765859834761
San Marino,Europe,2015,15.93491240181012
Scotland,Europe,2015,13.982481155898313
Serbia,Europe,2015,11.36684174301264
Slovakia,Europe,2015,11.252758995518
Slovenia,Europe,2015,11.66455163920498
Spain,Europe,2015,18.71925695479332
Sweden,Europe,2015,15.329760230226391
Switzerland,Europe,2015,17.170016147513408
Ukraine,Europe,2015,12.3574426649114
United Kingdom,Europe,2015,15.28504829823836
Wales,Europe,2015,14.44054117879162
