Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Albania,Europe,2016,11.56444277958855
Andorra,Europe,2016,15.45086185020454
Austria,Europe,2016,15.766658364190253
Belarus,Europe,2016,12.64862836874121
Belgium,Europe,2016,15.00787237125864
Bosnia and Herzegovina,Europe,2016,11.5122614843734
Bulgaria,Europe,2016,11.14146947563598
Croatia,Europe,2016,11.66268820008829
Czechia,Europe,2016,11.16503229198212
Denmark,Europe,2016,14.20625575626099
England,Europe,2016,15.326183474384388
Estonia,Europe,2016,12.19832224836608
Finland,Europe,2016,14.928202210838329
France,Europe,2016,16.6408325589408
Germany,Europe,2016,15.17141716699681
Greece,Europe,2016,17.02780597759338
Hungary,Europe,2016,11.34174824200008
Iceland,Europe,2016,14.57946280504448
Ireland,Europe,2016,17.7979710270164
Italy,Europe,2016,15.06866019991359
Latvia,Europe,2016,12.63055673374159
Lithuania,Europe,2016,13.270174667954027
Luxembourg,Europe,2016,14.911047479747491
Malta,Europe,2016,15.64419589767919
Moldova,Europe,2016,12.87690405454523
Monaco,Europe,2016,16.02721458091195
Montenegro,Europe,2016,11.650947917132
Netherlands,Europe,2016,16.62360968556279
North Macedonia,Europe,2016,11.35707335482873
Northern Ireland,Europe,2016,17.042602555621112
Norway,Europe,2016,16.03261017658429
Poland,Europe,2016,10.46987042389168
Portugal,Europe,2016,18.36335289212731
Romania,Europe,2016,11.13722933795985
Russia,Europe,2016,11.370562275993
San Marino,Europe,2016,15.941415020409492
Scotland,Europe,2016,13.93306691700302
Serbia,Europe,2016,11.39061469144675
Slovakia,Europe,2016,11.2376210186256
Slovenia,Europe,2016,11.65927835571533
Spain,Europe,2016,18.7640430693667
Sweden,Europe,2016,15.325152722948602
Switzerland,Europe,2016,17.17556664139138
Ukraine,Europe,2016,12.36978986364114
United Kingdom,Europe,2016,15.21976681423001
Wales,Europe,2016,14.429837462594469
