,Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
108,Azerbaijan,Commonwealth of Independent States,2007,4.56815958,9.365991592,0.753246784,60.86000061,0.522046328,-0.208600223,0.870909989,0.474291265,0.284357488,0.708405495
109,Azerbaijan,Commonwealth of Independent States,2008,4.817189217,9.447179794,0.684267223,61.13999939,0.601043284,-0.031347606,0.715124726,0.560817659,0.22679542,0.792291224
110,Azerbaijan,Commonwealth of Independent States,2009,4.573725224,9.515311241,0.735970318,61.41999817,0.498138398,-0.088785194,0.753849745,0.522001684,0.233942479,0.77425164
111,Azerbaijan,Commonwealth of Independent States,2010,4.218610764,9.552669525,0.68700099,61.70000076,0.501071095,-0.125314713,0.858346641,0.516271651,0.271873325,0.697391331
112,Azerbaijan,Commonwealth of Independent States,2011,4.680469513,9.540638924,0.725193918,61.97999954,0.537484288,-0.107818343,0.795119047,0.521693528,0.258117318,0.741815805
113,Azerbaijan,Commonwealth of Independent States,2012,4.910771847,9.548772812,0.761873245,62.25999832,0.598859072,-0.143209159,0.763154805,0.523312867,0.266093403,0.707989275
114,Azerbaijan,Commonwealth of Independent States,2013,5.481178284,9.592310905,0.769690156,62.54000092,0.671956956,-0.171053559,0.698819578,0.516089082,0.242455453,0.748923719
115,Azerbaijan,Commonwealth of Independent States,2014,5.25153017,9.606963158,0.799433351,62.81999969,0.732772946,-0.211433947,0.65384531,0.502086222,0.219982117,0.778209925
116,Azerbaijan,Commonwealth of Independent States,2015,5.146774769,9.605931282,0.785702765,63.09999847,0.764289498,-0.201021776,0.615552545,0.520429969,0.206114277,0.788487196
117,Azerbaijan,Commonwealth of Independent States,2016,5.303894997,9.563261986,0.777271032,63.22499847,0.712573171,-0.20739381,0.606770813,0.508836508,0.191117197,0.734052122
118,Azerbaijan,Commonwealth of Independent States,2017,5.152279377,9.555447578,0.787039399,63.34999847,0.731030464,-0.228387043,0.652539015,0.511526883,0.19831866,0.766583443
119,Azerbaijan,Commonwealth of Independent States,2018,5.167995453,9.561672211,0.781229913,63.47499847,0.772449255,-0.234876037,0.561206281,0.527072668,0.191391662,0.834371924
120,Azerbaijan,Commonwealth of Independent States,2019,5.173389435,9.577898979,0.88675642,63.59999847,0.854248524,-0.217628807,0.457260668,0.576897144,0.163920254,0.857845366
149,Belarus,Commonwealth of Independent States,2006,5.657649994,9.489098549,0.917898655,60.06000137,0.707080483,-0.249204546,0.708274722,0.535119176,0.269400358,0.593287706
150,Belarus,Commonwealth of Independent States,2007,5.616976261,9.576188087,0.857527673,60.61999893,0.667299509,-0.228082791,0.694849432,0.502456009,0.234981403,0.543614388
151,Belarus,Commonwealth of Independent States,2008,5.463332176,9.676768303,0.903700352,61.18000031,0.639923871,-0.223394796,0.69649595,,0.245659292,0.533608973
152,Belarus,Commonwealth of Independent States,2009,5.56413126,9.681225777,0.907777846,61.74000168,0.679292619,-0.206374764,0.67554307,0.544300735,0.223291501,0.548332989
153,Belarus,Commonwealth of Independent States,2010,5.525923252,9.758502007,0.918000162,62.29999924,0.700064421,-0.166045815,0.70612061,0.531847715,0.208272159,0.589527249
154,Belarus,Commonwealth of Independent States,2011,5.225307941,9.813235283,0.909887791,62.86000061,0.656010866,-0.171495944,0.671938658,0.493381172,0.249455392,
155,Belarus,Commonwealth of Independent States,2012,5.749043465,9.831532478,0.901961505,63.41999817,0.64524883,-0.220894024,0.657430232,0.515112579,0.180764526,
156,Belarus,Commonwealth of Independent States,2013,5.876466274,9.841900826,0.922505975,63.97999954,0.723431289,-0.181126356,0.653039157,0.545432627,0.206219658,0.507824779
157,Belarus,Commonwealth of Independent States,2014,5.812400818,9.858455658,0.880258858,64.54000092,0.647184551,-0.051936623,0.68150872,0.575067043,0.208535567,0.507746696
158,Belarus,Commonwealth of Independent States,2015,5.718907833,9.818078995,0.924072623,65.09999847,0.622753441,-0.095032595,0.668678164,0.545734644,0.184309959,0.520024061
159,Belarus,Commonwealth of Independent States,2016,5.177899361,9.791612625,0.926551104,65.32499695,0.658228815,-0.129186898,0.664055169,0.502697408,0.182106122,0.452669024
160,Belarus,Commonwealth of Independent States,2017,5.552915096,9.817717552,0.900255799,65.55000305,0.620979249,-0.125324965,0.654113412,0.501735687,0.232768074,0.447916299
161,Belarus,Commonwealth of Independent States,2018,5.233769894,9.850861549,0.904569268,65.77500153,0.643602371,-0.178330481,0.718455493,0.408883572,0.235728621,0.421278685
162,Belarus,Commonwealth of Independent States,2019,5.821453094,9.866782188,0.916740477,66.0,0.656933606,-0.189935863,0.545904756,0.558989465,0.189821407,0.460812598
163,Belgium,Western Europe,2005,7.262290478,10.74380779,0.934874713,68.40000153,0.923843026,,0.597554445,0.676885664,0.26037994,0.551705003
164,Belgium,Western Europe,2007,7.218839645,10.79118156,0.921602786,68.72000122,0.900870383,0.065253459,0.721093476,0.743583977,0.217604309,0.602238297
165,Belgium,Western Europe,2008,7.116590977,10.78774071,0.92297703,68.87999725,0.887026727,0.002729206,0.651800513,0.709397256,0.241797924,0.46313706
166,Belgium,Western Europe,2010,6.853514194,10.77838421,0.930570185,69.19999695,0.806930244,0.018059388,0.697365582,0.793344319,0.240364328,0.33651647
167,Belgium,Western Europe,2011,7.111363888,10.78217793,0.936955452,69.36000061,0.880153596,-0.018392406,0.711043894,0.752021194,0.225056365,0.289129466
168,Belgium,Western Europe,2012,6.935122013,10.78334141,0.92711705,69.51999664,0.855266631,-0.054311134,0.757572532,0.718186975,0.238276809,0.44011718
169,Belgium,Western Europe,2013,7.10366106,10.7832098,0.909186184,69.68000031,0.890711069,0.012450119,0.573664308,0.738157332,0.217138946,0.554124534
170,Belgium,Western Europe,2014,6.855329037,10.79443264,0.943549156,69.83999634,0.86095351,-0.002903926,0.511975765,0.743678153,0.251557052,0.469111621
171,Belgium,Western Europe,2015,6.904219151,10.80884647,0.885208845,70.0,0.869474947,0.057947557,0.46878463,0.747103333,0.239958704,0.459024221
172,Belgium,Western Europe,2016,6.948936462,10.81637096,0.928964078,70.15000153,0.865759015,-0.059950788,0.4966591,0.701093376,0.259653389,0.419177502
173,Belgium,Western Europe,2017,6.928347588,10.82858467,0.921639085,70.30000305,0.856801987,0.05037817,0.543046057,0.713402271,0.233597696,0.449731916
174,Belgium,Western Europe,2018,6.89217186,10.84180355,0.929815531,70.44999695,0.808386624,-0.128761545,0.630411804,0.681712568,0.250297338,0.44194454
175,Belgium,Western Europe,2019,6.772138119,10.85856056,0.884230494,70.59999847,0.776203632,-0.176252663,0.672497511,0.699042499,0.243630841,0.327901155
176,Belgium,Western Europe,2020,6.838760853,10.7991457,0.903558671,70.75,0.766917825,-0.170136407,0.633626759,0.619125485,0.260188788,0.294799596
177,Belgium,Western Europe,2021,6.881756306,10.8539772,0.914856791,70.90000153,0.82250309,0.079182751,0.523367822,0.686583519,0.260030925,
178,Belgium,Western Europe,2022,6.856874466,10.87826824,0.922732711,71.05000305,0.889889002,0.096943997,0.48338443,0.718479693,0.234773248,
215,Bosnia and Herzegovina,Central and Eastern Europe,2007,4.899806976,9.19063282,0.76560384,67.0,0.341565669,0.00848286,0.92612499,0.570178032,0.296465814,0.403552294
216,Bosnia and Herzegovina,Central and Eastern Europe,2009,4.963477135,9.246142387,0.735232174,67.0,0.257533818,-0.024913777,0.958739877,0.506855667,0.390204102,
217,Bosnia and Herzegovina,Central and Eastern Europe,2010,4.66851759,9.272101402,0.772753716,67.0,0.364966899,-0.127961382,0.933030069,0.46450606,0.409213185,
218,Bosnia and Herzegovina,Central and Eastern Europe,2011,4.994670868,9.299640656,0.725242853,67.0,0.333312094,-0.035210427,0.924784362,0.551055074,0.325734705,
219,Bosnia and Herzegovina,Central and Eastern Europe,2012,4.773144722,9.309930801,0.778859854,67.0,0.419789314,-0.013350217,0.95342195,0.468601346,0.338240683,0.194952324
220,Bosnia and Herzegovina,Central and Eastern Europe,2013,5.123664379,9.348740578,0.766827762,67.0,0.39034158,0.041170698,0.969836235,0.489300579,0.314516038,0.1134464
221,Bosnia and Herzegovina,Central and Eastern Europe,2014,5.248954296,9.373147964,0.787651718,67.0,0.411937386,0.231438369,0.976339638,0.490834683,0.262175202,0.095099099
222,Bosnia and Herzegovina,Central and Eastern Europe,2015,5.117177963,9.416748047,0.655723631,67.0,0.630698025,-0.054861378,0.959853649,0.485843688,0.28623414,0.194221586
223,Bosnia and Herzegovina,Central and Eastern Europe,2016,5.180865288,9.460133553,0.807705104,67.05000305,0.633453727,0.133556396,0.957311988,0.565980375,0.304080278,0.212188497
224,Bosnia and Herzegovina,Central and Eastern Europe,2017,5.089902401,9.503191948,0.775295258,67.09999847,0.563798666,0.090596311,0.923343062,0.52663964,0.270745516,0.126379713
225,Bosnia and Herzegovina,Central and Eastern Europe,2018,5.887401104,9.551575661,0.835889578,67.15000153,0.658846438,0.121776573,0.912857771,0.567694068,0.277365059,0.254097164
226,Bosnia and Herzegovina,Central and Eastern Europe,2019,6.01552248,9.591153145,0.873141944,67.19999695,0.72156322,0.077330939,0.96290803,0.544666409,0.238068551,0.167970508
227,Bosnia and Herzegovina,Central and Eastern Europe,2020,5.515816212,9.572131157,0.898518682,67.25,0.740250826,0.135482535,0.916052163,0.601870954,0.325412303,0.244549632
228,Bosnia and Herzegovina,Central and Eastern Europe,2021,5.748823166,9.659282684,0.859953582,67.30000305,0.758979201,0.277147263,0.920913935,0.604092598,0.305352151,0.225852832
259,Bulgaria,Central and Eastern Europe,2007,3.843797922,9.746398926,0.831507623,64.77999878,0.5657866,-0.143415853,0.976061046,0.500228405,0.226256058,0.275431663
260,Bulgaria,Central and Eastern Europe,2010,3.912276268,9.807189941,0.84327203,65.19999695,0.544536412,-0.150703251,0.940970004,0.51338315,0.237594187,0.365285963
261,Bulgaria,Central and Eastern Europe,2011,3.875382423,9.834396362,0.860272288,65.33999634,0.663527906,-0.23412855,0.947978675,0.489642143,0.270931035,0.265244752
262,Bulgaria,Central and Eastern Europe,2012,4.222297192,9.847709656,0.837966621,65.48000336,0.641256452,-0.178530246,0.938208699,0.50955528,0.236632824,0.342922807
263,Bulgaria,Central and Eastern Europe,2013,3.993020535,9.847685814,0.829132318,65.62000275,0.60321337,-0.196904853,0.9620471,0.536720932,0.278313011,0.170892313
264,Bulgaria,Central and Eastern Europe,2014,4.438439846,9.862991333,0.885949194,65.76000214,0.575595915,-0.060133282,0.954636931,0.542282879,0.235593721,0.140402734
265,Bulgaria,Central and Eastern Europe,2015,4.865401268,9.903078079,0.907517016,65.90000153,0.636817813,-0.20479691,0.941279948,0.555951655,0.214223832,0.249677315
266,Bulgaria,Central and Eastern Europe,2016,4.837560654,9.940037727,0.92603606,66.0,0.700265527,-0.174660623,0.935988188,0.544566214,0.171699852,0.221241772
267,Bulgaria,Central and Eastern Europe,2017,5.096901894,9.974589348,0.94175458,66.09999847,0.689047039,-0.158122122,0.910799742,0.541951478,0.188637346,0.326087952
268,Bulgaria,Central and Eastern Europe,2018,5.098813534,10.00830364,0.923853278,66.19999695,0.724335909,-0.179910451,0.952014446,0.553910315,0.189090982,0.218995899
269,Bulgaria,Central and Eastern Europe,2019,5.108438015,10.05492973,0.948204398,66.30000305,0.821929872,-0.112818673,0.942806482,0.576582789,0.199888319,0.268381834
270,Bulgaria,Central and Eastern Europe,2020,5.597723007,10.02054119,0.916242361,66.40000153,0.818224788,-0.010106544,0.900632977,0.642387509,0.221351057,0.273983628
271,Bulgaria,Central and Eastern Europe,2021,5.421693325,10.10226154,0.883621037,66.5,0.841188073,-0.015801253,0.891248465,0.646759868,0.252776712,0.224526197
272,Bulgaria,Central and Eastern Europe,2022,5.378348827,10.13758183,0.952761054,66.59999847,0.741359413,-0.145212695,0.941625774,0.581908226,0.165301874,
460,Croatia,Central and Eastern Europe,2007,5.820907593,10.17382431,0.909822166,66.94000244,0.662205756,-0.09655869,0.934273541,0.549708128,0.33708486,0.385139734
461,Croatia,Central and Eastern Europe,2009,5.433319569,10.12016106,0.860663235,67.18000031,0.549258351,-0.275568962,0.958130538,0.557369649,0.272170246,
462,Croatia,Central and Eastern Europe,2010,5.595575333,10.110116,0.796391606,67.30000305,0.564372659,-0.242169827,0.972738981,0.553552032,0.258886874,
463,Croatia,Central and Eastern Europe,2011,5.385372639,10.11270237,0.789738715,67.41999817,0.516932428,-0.202886671,0.976777494,0.55185771,0.272979707,
464,Croatia,Central and Eastern Europe,2012,6.027634621,10.09216595,0.775817871,67.54000092,0.541909754,-0.24748528,0.923860013,0.571653247,0.271040529,0.311118603
465,Croatia,Central and Eastern Europe,2013,5.885462761,10.09096527,0.751262069,67.66000366,0.626699686,-0.209175289,0.936059833,0.554081142,0.284729958,0.257140577
466,Croatia,Central and Eastern Europe,2014,5.380692482,10.09073544,0.645697773,67.77999878,0.518878043,0.127034962,0.917735159,0.544727087,0.285895109,0.15500845
467,Croatia,Central and Eastern Europe,2015,5.205438137,10.12388706,0.768363416,67.90000153,0.693523049,-0.101610668,0.848545551,0.570057213,0.294019341,0.364868402
468,Croatia,Central and Eastern Europe,2016,5.416875362,10.16584587,0.798332155,68.07499695,0.671970546,-0.0698319,0.884059787,0.568961382,0.336541265,0.30339098
469,Croatia,Central and Eastern Europe,2017,5.343165874,10.21140671,0.770309687,68.25,0.715822279,-0.109791107,0.89155972,0.61825645,0.316488236,0.211000666
470,Croatia,Central and Eastern Europe,2018,5.536271095,10.24796391,0.909806848,68.42500305,0.690855622,-0.156301752,0.925408304,0.512389958,0.290375978,0.248180911
471,Croatia,Central and Eastern Europe,2019,5.625743866,10.28714275,0.935988724,68.59999847,0.739300609,-0.143352598,0.931614637,0.503806353,0.269154519,0.286501437
472,Croatia,Central and Eastern Europe,2020,6.507992268,10.20176506,0.922913492,68.77500153,0.836657643,-0.069338493,0.960939288,0.681406796,0.285609752,0.208485767
473,Croatia,Central and Eastern Europe,2021,6.286790371,10.36204529,0.917741537,68.94999695,0.841837883,0.003264118,0.933650374,0.640148699,0.274197161,0.251287937
474,Croatia,Central and Eastern Europe,2022,5.578691483,10.4582634,0.90998435,69.125,0.593485951,-0.212666839,0.87508148,0.573152721,0.266854137,
476,Cyprus,Western Europe,2006,6.237958431,10.56758976,0.878201067,70.16000366,0.836101174,0.013915932,0.712468922,0.704202533,0.253212214,0.664813399
477,Cyprus,Western Europe,2009,6.833477497,10.5595274,0.811736107,70.63999939,0.774590671,0.050066553,0.801423609,0.668310106,0.329307944,0.563541174
478,Cyprus,Western Europe,2010,6.386546135,10.55595398,0.822123706,70.80000305,0.755362809,0.0680959,0.833427012,0.699333131,0.295705855,0.452459902
479,Cyprus,Western Europe,2011,6.689608574,10.5345974,0.843654513,70.95999908,0.745468855,0.175204977,0.840676486,0.682390809,0.272299588,0.399997503
480,Cyprus,Western Europe,2012,6.180507183,10.48427868,0.767177105,71.12000275,0.724629581,0.093665473,0.870691717,0.687085271,0.368632913,0.3364124
481,Cyprus,Western Europe,2013,5.438952446,10.41845894,0.744032085,71.27999878,0.656267941,0.097615138,0.867310464,0.656831086,0.420258701,0.274080217
482,Cyprus,Western Europe,2014,5.627123833,10.4115448,0.770175993,71.44000244,0.715065658,0.055447984,0.868237555,0.661480188,0.397172987,0.244740322
483,Cyprus,Western Europe,2015,5.439161301,10.45085621,0.769556105,71.59999847,0.62803483,0.109373726,0.892795146,0.659941733,0.383106411,0.203454718
484,Cyprus,Western Europe,2016,5.794618607,10.50993538,0.786438465,71.80000305,0.756220996,-0.034594569,0.897639513,0.631048799,0.336344689,0.333909512
485,Cyprus,Western Europe,2017,6.062051296,10.55638504,0.818671048,72.0,0.811670661,0.037891109,0.851206422,0.669735432,0.300516605,0.312653422
486,Cyprus,Western Europe,2018,6.276443005,10.59912777,0.825573206,72.19999695,0.794215024,-0.028720433,0.848337233,0.662988305,0.298021138,0.352440447
487,Cyprus,Western Europe,2019,6.136832714,10.63938046,0.776078045,72.40000153,0.740058005,-0.015705705,0.865294218,0.663419962,0.290225208,0.327287793
488,Cyprus,Western Europe,2020,6.259810448,10.58333588,0.805559397,72.59999847,0.762782335,-0.084321655,0.816231728,0.670835674,0.283522457,0.414389879
489,Cyprus,Western Europe,2021,6.269202232,10.63829708,0.85535723,72.80000305,0.717639267,-0.036411244,0.876456022,0.64112097,0.274683625,0.321940005
490,Cyprus,Western Europe,2022,5.864756584,,0.819547474,73.0,0.698407114,,0.887328267,0.659326255,0.29699868,
491,Czechia,Western Europe,2005,6.439256668,10.32168579,0.918759465,67.09999847,0.865234971,,0.900732756,0.638764262,0.257948965,0.282911479
492,Czechia,Western Europe,2007,6.500194073,10.43282795,0.899779022,67.33999634,0.798949361,-0.067165785,0.927871466,0.659939229,0.276907444,0.268838406
493,Czechia,Western Europe,2010,6.249617577,10.41879749,0.934161127,67.69999695,0.77911222,-0.045746949,0.925964117,0.647838593,0.244084343,0.334044516
494,Czechia,Western Europe,2011,6.331490993,10.43418026,0.91351074,67.81999969,0.787180007,-0.110400707,0.949787855,0.623200595,0.252808869,0.206286699
495,Czechia,Western Europe,2012,6.334149361,10.42490005,0.91242677,67.94000244,0.739808738,-0.157697842,0.956799686,0.634971499,0.256508142,0.169811338
496,Czechia,Western Europe,2013,6.697655678,10.42410946,0.888043344,68.05999756,0.725945652,-0.159976125,0.91589886,0.656264901,0.252652615,0.242542624
497,Czechia,Western Europe,2014,6.483729839,10.44542503,0.877915204,68.18000031,0.800421,-0.171905741,0.896880686,0.637772083,0.235220566,0.339732826
498,Czechia,Western Europe,2015,6.608017445,10.49594116,0.911362588,68.30000305,0.808484197,-0.149913684,0.886467457,0.689354122,0.206080526,0.435425878
499,Czechia,Western Europe,2016,6.735627174,10.5190773,0.930592895,68.42500305,0.850328267,-0.201611593,0.900430739,0.710227489,0.201041639,0.415120721
500,Czechia,Western Europe,2017,6.789567947,10.56681633,0.900968969,68.55000305,0.8317855,-0.18125312,0.866524994,0.672272861,0.226649791,0.343870819
501,Czechia,Western Europe,2018,7.034165382,10.59516621,0.929163933,68.67500305,0.790132403,-0.296867758,0.851382256,0.674413085,0.178068101,0.420783311
502,Czechia,Western Europe,2020,6.897091389,10.56204319,0.96405369,68.92500305,0.906422019,-0.133409292,0.883699596,0.748342454,0.290441692,0.318858981
503,Czechia,Western Europe,2021,6.942496777,10.61499023,0.950226784,69.05000305,0.890521467,0.159110054,0.8625741,0.716166556,0.239848629,0.284475416
504,Czechia,Western Europe,2022,6.695077419,10.65630722,0.943601012,69.17500305,0.90783453,0.093917415,0.831001461,0.742506981,0.245990261,
505,Denmark,Western Europe,2005,8.01893425,10.84901237,0.972371519,68.30000305,0.97113502,,0.236521706,0.776689112,0.15367195,0.66868329
506,Denmark,Western Europe,2007,7.834233284,10.88872623,0.954201102,68.73999786,0.932086229,0.235808134,0.206005678,0.777935743,0.194323689,0.592505932
507,Denmark,Western Europe,2008,7.970891953,10.87771797,0.953911722,68.95999908,0.969788373,0.26788044,0.247505307,0.759462297,0.163090929,0.665933907
508,Denmark,Western Europe,2009,7.683358669,10.82205677,0.93889159,69.18000031,0.949335575,0.259391248,0.205769762,0.781798959,0.233584777,0.626578152
509,Denmark,Western Europe,2010,7.770515442,10.83615208,0.974977076,69.40000153,0.943630815,0.238271326,0.174896091,0.796208739,0.154562935,0.586689413
510,Denmark,Western Europe,2011,7.78823185,10.84531403,0.961736143,69.62000275,0.934760153,0.293352216,0.220043078,0.777891874,0.174883381,0.471823335
511,Denmark,Western Europe,2012,7.519909382,10.84381294,0.951437175,69.83999634,0.932627916,0.134583235,0.187407613,0.782715559,0.208569512,0.534252763
512,Denmark,Western Europe,2013,7.588606834,10.84893417,0.964707971,70.05999756,0.920254648,0.210610688,0.170042172,0.825601161,0.194673792,0.391405106
513,Denmark,Western Europe,2014,7.507559299,10.85992813,0.956344306,70.27999878,0.941572249,0.11384625,0.237218335,0.779867768,0.232612774,0.457836896
514,Denmark,Western Europe,2015,7.514424801,10.87601948,0.9597013,70.5,0.94143641,0.217878878,0.191016391,0.801432848,0.217577577,0.579888642
